city,latitude,longitude
0,64600.0,28300.0
1,61533.3333,28066.6667
2,62766.6667,22400.0
3,62933.3333,22500.0
4,61816.6667,27800.0
5,64066.6667,28666.6667
6,60600.0,22916.6667
7,62933.3333,29100.0
8,61333.3333,21933.3333
9,60416.6667,25250.0
10,60216.6667,20183.3333
11,67000.0,28033.3333
12,64033.3333,28416.6667
13,60866.6667,26383.3333
14,60233.3333,21816.6667
15,61283.3333,27216.6667
16,60250.0,22200.0
17,60200.0,20700.0
18,62633.3333,29366.6667
19,62033.3333,28850.0
20,61316.6667,23500.0
21,60416.6667,21416.6667
22,64716.6667,26850.0
23,62583.3333,30283.3333
24,64633.3333,27900.0
25,60616.6667,26650.0
26,60766.6667,27916.6667
27,60350.0,23450.0
28,62900.0,30683.3333
29,61033.3333,22933.3333
30,60533.3333,26116.6667
31,60066.6667,23350.0
32,63400.0,28133.3333
33,65400.0,29400.0
34,61066.6667,27633.3333
35,61683.3333,23166.6667
36,64066.6667,23650.0
37,65000.0,25450.0
38,62766.6667,30766.6667
39,60616.6667,26450.0
40,65800.0,24450.0
41,63416.6667,29100.0
42,61266.6667,27716.6667
43,65166.6667,25366.6667
44,64050.0,26650.0
45,60383.3333,22783.3333
46,61600.0,26016.6667
47,60650.0,26566.6667
48,61000.0,24216.6667
49,61666.6667,23183.3333
50,62866.6667,26733.3333
51,61566.6667,24383.3333
52,63483.3333,23750.0
53,61800.0,28033.3333
54,60133.3333,23050.0
55,61050.0,23116.6667
56,62633.3333,27616.6667
57,62583.3333,25383.3333
58,64183.3333,25033.3333
59,65483.3333,25983.3333
60,60883.3333,27433.3333
61,60205.2778,24602.5
62,60145.2778,24519.1667
63,60250.2778,25009.7222
64,60400.0,26000.0
65,62183.3333,23900.0
66,61700.0,24483.3333
67,60833.3333,22466.6667
68,60566.6667,25350.0
69,62083.3333,23266.6667
70,63266.6667,26850.0
71,60900.0,21583.3333
72,61166.6667,26666.6667
73,63500.0,22850.0
74,60083.8889,24099.1667
75,62183.3333,30316.6667
76,63583.3333,22683.3333
77,60033.3333,23683.3333
78,60233.3333,23750.0
79,60033.3333,24000.0
80,64283.3333,27733.3333
81,65200.0,29283.3333
82,63750.0,27383.3333
83,63933.3333,24433.3333
84,60350.0,22016.6667
85,62816.6667,27466.6667
86,63116.6667,22750.0
87,63783.3333,28083.3333
88,63033.3333,27000.0
89,60516.6667,27683.0556
