city,latitude,longitude
0,61333.3333,23750.0
1,63133.3333,27850.0
2,60316.6667,22416.6667
3,61966.6667,28916.6667
4,63616.6667,26666.6667
5,64466.6667,28216.6667
6,60950.0,25933.3333
7,62616.6667,29850.0
8,60383.3333,24033.3333
9,62300.0,28250.0
10,62533.3333,23633.3333
11,63666.6667,26050.0
12,62400.0,22166.6667
13,60666.6667,21566.6667
14,62916.6667,26500.0
15,62916.6667,31283.3333
16,60600.0,22666.6667
17,62116.6667,21366.6667
18,63566.6667,28950.0
19,62416.6667,22983.3333
20,60150.0,20233.3333
21,64900.0,27716.6667
22,60083.3333,20200.0
23,62433.3333,21433.3333
24,64516.6667,28433.3333
25,60433.3333,22516.6667
26,60050.0,23716.6667
27,63233.3333,24333.3333
28,61750.0,25283.3333
29,63650.0,23233.3333
