city,latitude,longitude
0,60533.3333,21450.0
1,63316.6667,29216.6667
2,60850.0,24733.3333
3,61900.0,25000.0
4,62900.0,30666.6667
5,66883.3333,28916.6667
6,63116.6667,30416.6667
7,60666.6667,27050.0
8,66733.3333,24316.6667
9,61000.0,21650.0
10,61100.0,25950.0
11,62766.6667,22533.3333
12,62266.6667,28700.0
13,60783.3333,24533.3333
14,62666.6667,22500.0
15,63100.0,22850.0
16,61066.6667,28750.0
17,61500.0,29166.6667
18,63450.0,22566.6667
19,60033.3333,23683.3333
20,63133.3333,22900.0
21,60850.0,22850.0
22,61316.6667,21650.0
23,61150.0,22900.0
24,66383.3333,26583.3333
25,60333.3333,25866.6667
26,61400.0,23150.0
27,66466.6667,25750.0
28,62933.3333,23100.0
29,60400.0,23883.3333
