city,latitude,longitude
0,61916.6667,26350.0
1,65183.3333,27700.0
2,67216.6667,27533.3333
3,60566.6667,27116.6667
4,60166.6667,19533.3333
5,62483.3333,30483.3333
6,68083.3333,26550.0
7,60466.6667,23683.3333
8,60966.6667,24950.0
9,64166.6667,27183.3333
10,67350.0,26866.6667
11,60000.0,23066.6667
12,63566.6667,28950.0
13,64400.0,28233.3333
14,62750.0,22666.6667
15,60033.3333,20166.6667
16,61083.3333,27150.0
17,62900.0,24116.6667
18,60250.0,25650.0
19,60866.6667,26700.0
20,60054.1667,24455.0
21,62300.0,29500.0
22,60700.0,25033.3333
23,63316.6667,22483.3333
24,61966.6667,24033.3333
25,61166.6667,25700.0
26,61483.3333,24700.0
27,62633.3333,22666.6667
28,64233.3333,27683.3333
29,62433.3333,22050.0
