city,latitude,longitude
0,61400.0,25800.0
1,64100.0,27950.0
2,64383.3333,24366.6667
3,67366.6667,26850.0
4,61000.0,24450.0
5,64200.0,28633.3333
6,60283.3333,25500.0
7,61483.3333,23116.6667
8,60866.6667,23000.0
9,64400.0,26333.3333
10,60900.0,22966.6667
11,60583.3333,26350.0
12,60283.3333,19916.6667
13,62750.0,30166.6667
14,61750.0,25283.3333
15,60133.3333,23050.0
16,60833.3333,21616.6667
17,64816.6667,25933.3333
18,63333.3333,23316.6667
19,62050.0,22116.6667
20,60250.0,20033.3333
21,60116.6667,22600.0
22,62000.0,22633.3333
23,61400.0,28650.0
24,60200.0,20083.3333
25,64483.3333,25316.6667
26,61083.3333,27566.6667
27,63816.6667,23166.6667
28,62400.0,29233.3333
29,60383.3333,23983.3333
