city,latitude,longitude
0,62283.3333,24200.0
1,62100.0,26083.3333
2,62416.6667,27300.0
3,61050.0,25483.3333
4,61583.3333,27300.0
5,63216.6667,22850.0
6,61133.3333,25316.6667
7,60283.3333,20000.0
8,60500.0,26883.3333
9,62033.3333,30133.3333
10,61083.3333,22400.0
11,60533.3333,25016.6667
12,66483.3333,27350.0
13,60900.0,27916.6667
14,66283.3333,27116.6667
15,65766.6667,24566.6667
16,63100.0,27266.6667
17,61116.6667,27716.6667
18,59816.6667,22966.6667
19,60816.6667,23466.6667
20,60383.3333,24233.3333
21,62766.6667,24833.3333
22,66883.3333,28916.6667
23,61500.0,24216.6667
24,63266.6667,28266.6667
25,61450.0,27500.0
26,62800.0,25066.6667
27,60783.3333,25000.0
28,63000.0,29600.0
29,64233.3333,28366.6667
