city,latitude,longitude
0,62900.0,29383.3333
1,60185.5556,24030.2778
2,63066.6667,22666.6667
3,67150.0,23983.3333
4,63050.0,25116.6667
5,60000.0,23166.6667
6,60283.3333,26133.3333
7,65200.0,25316.6667
8,60966.6667,22866.6667
9,60933.3333,26966.6667
10,60583.3333,21300.0
11,63833.3333,27083.3333
12,61400.0,28333.3333
13,63216.6667,23750.0
14,63600.0,26066.6667
15,61033.3333,27383.3333
16,61400.0,27350.0
17,60616.6667,27783.3333
18,62283.3333,24616.6667
19,61033.3333,23250.0
20,59916.6667,23383.3333
21,62550.0,28300.0
22,60076.6667,24418.0556
23,62916.6667,26283.3333
24,62316.6667,24333.3333
25,61950.0,24866.6667
26,63216.6667,22400.0
27,68400.0,23216.6667
28,69150.0,27816.6667
29,62733.3333,26533.3333
30,63233.3333,27166.6667
31,61616.6667,28750.0
32,60516.6667,26666.6667
33,62383.3333,22583.3333
34,62300.0,23700.0
35,62016.6667,24516.6667
36,60283.3333,24066.6667
37,63666.6667,27300.0
38,60633.3333,21533.3333
39,63400.0,23033.3333
40,64766.6667,25550.0
41,60866.6667,26850.0
42,60200.0,19666.6667
43,64900.0,29166.6667
44,61033.3333,28200.0
45,62183.3333,28083.3333
46,62916.6667,23083.3333
47,66400.0,27300.0
48,61916.6667,25983.3333
49,60616.6667,21750.0
50,61183.3333,24533.3333
51,62483.3333,22016.6667
52,62966.6667,23100.0
53,60250.0,20200.0
54,67816.6667,24800.0
55,62233.3333,25733.3333
56,60150.0,19950.0
57,63416.6667,27766.6667
58,62300.0,30600.0
59,63366.6667,22050.0
